timestamp,latitude,longitude,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1650798097,45.029381,7.713430,0.000000,50.000000,2.000000,1.000000
1650798151,45.029030,7.714361,0.000000,50.000000,2.000000,1.000000
1650798151,45.029030,7.714361,0.000000,54.000000,2.000000,1.000000
1650798186,45.029255,7.715155,0.000000,54.000000,2.000000,1.000000
1650798230,45.029572,7.716281,0.000000,54.000000,2.000000,1.000000
1650798230,45.029572,7.716281,0.000000,53.000000,2.000000,1.000000
1650798343,45.029827,7.716705,0.000000,52.000000,2.000000,1.000000
1650798343,45.029827,7.716705,0.000000,52.000000,2.000000,1.000000
1650798379,45.030739,7.719019,0.000000,52.000000,2.000000,1.000000
1650798379,45.030739,7.719019,0.000000,48.000000,2.000000,1.000000
1650798425,45.030704,7.720296,0.000000,48.000000,2.000000,1.000000
1650798472,45.030525,7.721628,0.000000,48.000000,2.000000,1.000000
1650798472,45.030525,7.721628,0.000000,59.000000,2.000000,1.000000
1650798511,45.030712,7.722436,0.000000,59.000000,2.000000,1.000000
1650798511,45.030712,7.722436,0.000000,58.000000,2.000000,1.000000
1650798547,45.031204,7.721905,0.000000,58.000000,2.000000,1.000000
1650798595,45.031330,7.721399,0.000000,58.000000,2.000000,1.000000
1650798595,45.031330,7.721399,0.000000,55.000000,2.000000,1.000000
1650798852,45.031040,7.721359,0.000000,75.000000,2.000000,1.000000
1650798852,45.031040,7.721359,0.000000,86.000000,2.000000,1.000000
1650798886,45.031357,7.721347,0.000000,86.000000,2.000000,1.000000
1650798886,45.031357,7.721347,0.000000,97.000000,2.000000,1.000000
1650799645,45.031071,7.721389,0.000000,116.000000,2.000000,1.000000
1650799645,45.031071,7.721389,0.000000,99.000000,2.000000,1.000000
1650799678,45.030827,7.722239,0.000000,99.000000,2.000000,1.000000
1650799731,45.030773,7.718579,0.000000,99.000000,2.000000,1.000000
1650799731,45.030773,7.718579,0.000000,100.000000,6.065895,2.198693
1650799765,45.029697,7.716235,0.000000,100.000000,6.065895,2.198693
1650799765,45.029697,7.716235,0.000000,105.000000,7.665231,3.801551
1650799804,45.029457,7.714253,0.000000,105.000000,7.665231,3.801551
1650799983,45.029625,7.715620,0.000000,80.000000,2.000000,1.000000
1650799983,45.029625,7.715620,0.000000,81.000000,2.000000,1.000000
1650800024,45.030643,7.717736,0.000000,81.000000,2.000000,1.000000
1650800024,45.030643,7.717736,0.000000,77.000000,7.987576,1.683219
1650800057,45.030888,7.717295,0.000000,77.000000,7.987576,1.683219
1650800057,45.030888,7.717295,0.000000,73.000000,2.683219,4.958274
1650800093,45.031467,7.717889,0.000000,73.000000,2.683219,4.958274
1650800126,45.033047,7.718733,0.000000,73.000000,2.683219,4.958274
1650800126,45.033047,7.718733,0.000000,76.000000,6.010036,1.000000
1650800163,45.032349,7.716493,0.000000,76.000000,6.010036,1.000000
1650800214,45.031395,7.712845,0.000000,76.000000,6.010036,1.000000
1650800214,45.031395,7.712845,0.000000,68.000000,13.263884,2.029521
1650800248,45.031326,7.711914,0.000000,68.000000,13.263884,2.029521
1650800248,45.031326,7.711914,0.000000,71.000000,3.029521,1.000000
1650800287,45.031841,7.712596,0.000000,71.000000,3.029521,1.000000
1650800331,45.032749,7.713298,0.000000,71.000000,3.029521,1.000000
1650800331,45.032749,7.713298,0.000000,70.000000,2.226466,1.000000
1650800376,45.033920,7.714959,0.000000,70.000000,2.226466,1.000000
1650800376,45.033920,7.714959,0.000000,72.000000,2.000000,1.000000
1650800412,45.034752,7.714171,0.000000,72.000000,2.000000,1.000000
1650800470,45.035316,7.716180,0.000000,72.000000,2.000000,1.000000
1650800470,45.035316,7.716180,0.000000,70.000000,20.475029,3.565861
1650800522,45.035706,7.713186,0.000000,70.000000,20.475029,3.565861
1650800522,45.035706,7.713186,0.000000,69.000000,24.834511,4.040834
1650800556,45.036324,7.712196,0.000000,69.000000,24.834511,4.040834
1650800556,45.036324,7.712196,0.000000,66.000000,27.443094,5.265728
1650800596,45.037540,7.712076,0.000000,66.000000,27.443094,5.265728
1650800596,45.037540,7.712076,0.000000,70.000000,34.564186,9.031898
1650800650,45.040863,7.707323,0.000000,70.000000,34.564186,9.031898
1650800706,45.039757,7.711956,0.000000,70.000000,34.564186,9.031898
1650800706,45.039757,7.711956,0.000000,65.000000,10.031898,1.000000
1650800714,45.039757,7.712808,0.000000,65.000000,10.031898,1.000000
1650800745,45.039734,7.713394,0.000000,65.000000,10.031898,1.000000
1650800745,45.039734,7.713394,0.000000,61.000000,21.852642,4.568287
1650800748,45.042439,7.715442,0.000000,61.000000,21.852642,4.568287
1650800778,45.043331,7.716531,0.000000,61.000000,21.852642,4.568287
1650800778,45.043331,7.716531,0.000000,54.000000,5.568287,1.000000
1650800785,45.043949,7.715625,0.000000,54.000000,5.568287,1.000000
1650800808,45.044868,7.713615,0.000000,54.000000,5.568287,1.000000
1650800839,45.046337,7.711756,0.000000,54.000000,5.568287,1.000000
1650800839,45.046337,7.711756,0.000000,50.000000,24.267166,3.950482
1650800873,45.047817,7.709041,0.000000,50.000000,24.267166,3.950482
1650800906,45.049862,7.706408,0.000000,50.000000,24.267166,3.950482
1650800906,45.049862,7.706408,0.000000,49.000000,4.950482,1.000000
1650800940,45.052902,7.707023,0.000000,49.000000,4.950482,1.000000
1650800973,45.052765,7.707428,0.000000,49.000000,4.950482,1.000000
1650800973,45.052765,7.707428,0.000000,49.000000,2.000000,1.000000
1650801005,45.053604,7.699401,0.000000,49.000000,2.000000,1.000000
1650801013,45.053982,7.699037,0.000000,49.000000,2.000000,1.000000
1650801035,45.054653,7.697944,0.000000,49.000000,2.000000,1.000000
1650801035,45.054653,7.697944,0.000000,53.000000,29.682585,4.431004
1650801067,45.056183,7.696327,0.000000,53.000000,29.682585,4.431004
1650801100,45.057583,7.693602,0.000000,53.000000,29.682585,4.431004
1650801100,45.057583,7.693602,0.000000,49.000000,5.431004,1.000000
1650801134,45.055977,7.691326,0.000000,49.000000,5.431004,1.000000
1650801167,45.059654,7.691385,0.000000,49.000000,5.431004,1.000000
1650801167,45.059654,7.691385,2.000000,49.000000,2.000000,1.000000
1650801202,45.059795,7.695436,2.000000,49.000000,2.000000,1.000000
1650801202,45.059795,7.695436,3.000000,48.000000,24.832491,5.521738
1650801204,45.061207,7.693255,3.000000,48.000000,24.832491,5.521738
1650801244,45.063034,7.695331,3.000000,48.000000,24.832491,5.521738
1650801264,45.062813,7.699129,3.000000,48.000000,24.832491,5.521738
1650801264,45.062813,7.699129,4.000000,56.000000,25.498117,8.720208
1650801294,45.064323,7.695269,4.000000,56.000000,25.498117,8.720208
1650801326,45.064919,7.695612,4.000000,56.000000,25.498117,8.720208
1650801326,45.064919,7.695612,5.000000,54.000000,30.591709,7.628016
1650801335,45.065151,7.694234,5.000000,54.000000,30.591709,7.628016
1650801357,45.065651,7.693181,5.000000,54.000000,30.591709,7.628016
1650801373,45.066002,7.692400,5.000000,54.000000,30.591709,7.628016
1650801387,45.064953,7.694193,5.000000,54.000000,30.591709,7.628016
1650801387,45.064953,7.694193,5.000000,54.000000,8.628016,1.000000
1650801421,45.066849,7.689986,5.000000,54.000000,8.628016,1.000000
1650801454,45.067474,7.688460,5.000000,54.000000,8.628016,1.000000
1650801454,45.067474,7.688460,5.000000,55.000000,2.000000,1.000000
1650801488,45.068081,7.686804,5.000000,55.000000,2.000000,1.000000
1650801520,45.068684,7.685212,5.000000,55.000000,2.000000,1.000000
1650801520,45.068684,7.685212,4.000000,54.000000,2.000000,1.000000
1650801530,45.068817,7.684548,4.000000,54.000000,2.000000,1.000000
1650801551,45.069302,7.683800,4.000000,54.000000,2.000000,1.000000
1650801583,45.070145,7.683353,4.000000,54.000000,2.000000,1.000000
1650801583,45.070145,7.683353,7.000000,72.000000,2.000000,1.000000
1650801617,45.070885,7.683037,7.000000,72.000000,2.000000,1.000000
1650801617,45.070885,7.683037,11.000000,128.000000,34.645824,8.516903
1650801648,45.072140,7.683822,11.000000,128.000000,34.645824,8.516903
1650801710,45.072372,7.684081,11.000000,128.000000,34.645824,8.516903
1650801803,45.072224,7.684203,20.000000,218.000000,37.840733,7.325363
1650801803,45.072224,7.684203,22.000000,0.000000,37.840733,7.325363
