timestamp,latitudine,longitudine,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1647428189,1226.17.00,11548.16.00,18.00,36.00.00,3677.18.00,4217.18.00
1647428428,1221.16.00,11538.21.00,16.00,52.00.00,3112.18.00,995.05.00
1647428428,1221.16.00,11538.21.00,15.00,58.00.00,2150.01.00,2408.39.00
1647428442,1211.13.00,11532.55.00,15.00,58.00.00,2150.01.00,2408.39.00
1647428444,1206.57.00,11529.33.00,15.00,58.00.00,2150.01.00,2408.39.00
1647428625,1164.29.00,11504.03.00,14.00,59.00.00,15113.19.00,11161.00.00
1647428630,1161.30.00,11497.15.00,14.00,59.00.00,15113.19.00,11161.00.00
1647428635,1158.31.00,11491.54.00,14.00,59.00.00,15113.19.00,11161.00.00
1647428670,1139.45.00,11477.08.00,14.00,59.00.00,15113.19.00,11161.00.00
1647428670,1139.45.00,11477.08.00,13.00,57.00.00,14303.02.00,4327.11.00
1647428703,1132.08.00,11478.23.00,13.00,57.00.00,14303.02.00,4327.11.00
1647428725,1112.52.00,11459.03.00,13.00,57.00.00,14303.02.00,4327.11.00
1647428725,1112.52.00,11459.03.00,13.00,59.00.00,15500.27.00,13433.36.00
1647428730,1109.22.00,11465.44.00,13.00,59.00.00,15500.27.00,13433.36.00
1647428750,1105.52.00,11461.26.00,13.00,59.00.00,15500.27.00,13433.36.00
1647428780,1072.14.00,11433.32.00,13.00,59.00.00,15500.27.00,13433.36.00
1647428780,1072.14.00,11433.32.00,13.00,59.00.00,1590.02.00,4462.47.00
1647428811,1059.43.00,11426.42.00,13.00,59.00.00,1590.02.00,4462.47.00
1647428841,1054.41.00,11423.12.00,13.00,59.00.00,1590.02.00,4462.47.00
1647428841,1054.41.00,11423.12.00,13.00,38.00.00,11533.15.00,9172.12.00
1647428874,1032.15.00,11406.18.00,13.00,38.00.00,11533.15.00,9172.12.00
1647428904,1015.24.00,11395.58.00,13.00,38.00.00,11533.15.00,9172.12.00
1647428904,1015.24.00,11395.58.00,14.00,31.00.00,9173.12.00,10030.58.00
1647428965,998.44.00,11383.50.00,14.00,31.00.00,9173.12.00,10030.58.00
1647428965,998.44.00,11383.50.00,15.00,27.00.00,12689.02.00,14836.22.00
1647428995,982.28.00,11370.46.00,15.00,27.00.00,12689.02.00,14836.22.00
1647429388,984.11.00,11294.00.00,12.00,99.00.00,14234.40.00,4631.50.00
1647429404,977.26.00,11283.52.00,12.00,99.00.00,14234.40.00,4631.50.00
1647429536,977.38.00,11277.03.00,11.00,112.00.00,15754.01.00,3497.30.00
1647429536,977.38.00,11277.03.00,10.00,120.00.00,3498.30.00,13244.05.00
1647429567,977.30.00,11283.36.00,10.00,120.00.00,3498.30.00,13244.05.00
1647429567,977.30.00,11283.36.00,9.00,123.00.00,13245.05.00,4401.05.00
1647437896,1221.58.00,11553.33.00,4.00,84.00.00,2410.00.00,16045.03.00
1647439535,1222.01.00,11553.29.00,6.00,78.00.00,16198.08.00,8488.52.00
1647439535,1222.01.00,11553.29.00,6.00,71.00.00,11345.30.00,2318.50.00
1647442987,1222.13.00,11554.27.00,2.00,130.00.00,4095.49.00,7660.02.00
1647442987,1222.13.00,11554.27.00,2.00,131.00.00,11638.29.00,9995.02.00
1647443258,1222.17.00,11554.42.00,2.00,143.00.00,16580.35.00,16103.27.00
1647446438,1221.27.00,11534.57.00,9.00,57.00.00,479.38.00,63.59.00
1647446441,1229.20.00,11543.41.00,9.00,57.00.00,479.38.00,63.59.00
