timestamp,latitude,longitude,NO2 (ppb),superato limite,percentuale sup
1645621166,45.070858,7.691825,1.000000,NO, 10
1645621171,45.071011,7.692795,1.000000,NO, 10
1645621235,45.070534,7.692262,1.000000,NO, 10
1645621235,45.070534,7.692262,1.000000,NO, 10
1645621266,45.070175,7.692442,1.000000,NO, 10
1645621266,45.070175,7.692442,1.000000,NO, 10
1645621615,45.070499,7.692441,3.000000,NO, 10
1645621646,45.070778,7.692514,3.000000,NO, 10
1645621679,45.070492,7.692336,3.000000,NO, 10
1645621679,45.070492,7.692336,3.000000,NO, 10
1645621708,45.070778,7.692310,3.000000,NO, 10
1645622221,45.070480,7.692346,3.000000,NO, 10
1645622221,45.070480,7.692346,3.000000,NO, 10
1645622239,45.070786,7.692300,3.000000,NO, 10
1645623387,45.070477,7.692320,3.000000,NO, 10
1645623387,45.070477,7.692320,3.000000,NO, 10
1645623416,45.070847,7.692407,3.000000,NO, 10
1645623416,45.070847,7.692407,3.000000,NO, 10
1645625753,45.070972,7.692157,3.000000,NO, 10
1645625753,45.070972,7.692157,3.000000,NO, 10
1645626342,45.070675,7.692411,3.000000,NO, 10
1645626342,45.070675,7.692411,2.000000,NO, 10
1645627221,45.070961,7.692299,5.000000,NO, 10
1645627221,45.070961,7.692299,5.000000,NO, 10
1645627560,45.070595,7.692107,5.000000,NO, 10
1645627560,45.070595,7.692107,6.000000,NO, 10
1645627727,45.070732,7.692443,6.000000,NO, 10
1645627727,45.070732,7.692443,5.000000,NO, 10
1645633528,45.057739,7.680952,2.000000,NO, 10
1645633528,45.057739,7.680952,3.000000,NO, 10
1645634770,45.058598,7.679640,15.000000,SI, 50
1645634770,45.058598,7.679640,16.000000,SI, 60
1645634808,45.057735,7.680933,16.000000,SI, 60
1645636143,45.054321,7.678500,24.000000,SI, 140
1645636143,45.054321,7.678500,24.000000,SI, 140
1645636198,45.057735,7.680931,24.000000,SI, 140
1645636215,45.058601,7.681823,24.000000,SI, 140
1645636215,45.058601,7.681823,25.000000,SI, 150
1645636228,45.057743,7.680939,25.000000,SI, 150
1645637096,45.058075,7.680326,24.000000,SI, 140
1645637096,45.058075,7.680326,24.000000,SI, 140
1645637107,45.057751,7.680903,24.000000,SI, 140
1645637107,45.057751,7.680903,24.000000,SI, 140
1645637188,45.058537,7.682218,24.000000,SI, 140
1645637188,45.058537,7.682218,24.000000,SI, 140
1645637199,45.057747,7.680944,24.000000,SI, 140
1645637345,45.060188,7.680720,23.000000,SI, 130
1645637345,45.060188,7.680720,24.000000,SI, 140
1645637385,45.057735,7.680936,24.000000,SI, 140
1645637458,45.058369,7.680021,24.000000,SI, 140
1645637458,45.058369,7.680021,23.000000,SI, 130
1645637479,45.057735,7.680931,23.000000,SI, 130
1645637479,45.057735,7.680931,24.000000,SI, 140
1645639750,45.057739,7.680947,22.000000,SI, 120
1645639750,45.057739,7.680947,22.000000,SI, 120
1645640024,45.057732,7.680923,20.000000,SI, 100
1645640024,45.057732,7.680923,22.000000,SI, 120
1645640299,45.057747,7.680937,21.000000,SI, 110
1645640299,45.057747,7.680937,21.000000,SI, 110
1645640605,45.057743,7.680935,20.000000,SI, 100
1645640605,45.057743,7.680935,20.000000,SI, 100
1645640908,45.057739,7.680926,20.000000,SI, 100
1645640908,45.057739,7.680926,20.000000,SI, 100
1645641075,45.057827,7.679494,20.000000,SI, 100
1645641075,45.057827,7.679494,20.000000,SI, 100
1645641089,45.057747,7.680924,20.000000,SI, 100
1645641153,45.055992,7.679096,20.000000,SI, 100
1645641153,45.055992,7.679096,20.000000,SI, 100
1645641194,45.057739,7.680937,20.000000,SI, 100
1645641194,45.057739,7.680937,20.000000,SI, 100
1645641466,45.057739,7.680931,20.000000,SI, 100
1645641466,45.057739,7.680931,20.000000,SI, 100
